NAME,SHAPE_Leng,SHAPE_Area,Area_calc,lat,lon
WHITE SWAN RESERVOIR,0.0724770185183,0.000124091964,1217631.9,-37.513508281388525,143.92067323399988
BOSTOCK RESERVOIR,0.0919786546572,9.882519925e-05,968571.814,-37.60218771817856,144.17668317040832
PINE LAKE,0.189715067604,0.000665843432,6595862.01,-36.782352221423544,142.3497029421029
CARDINIA RESERVOIR,0.591998199973,0.00132266898975,12901497.8,-37.96138518271378,145.41900909851728
DOCK LAKE,0.0524984130495,0.0001719267105,1703311.62,-36.7731372777209,142.29635351135266
MALMSBURY RESERVOIR,0.212625576113,0.00030372910725,2992043.64,-37.21306225107771,144.37123414562427
GONG GONG RESERVOIR,0.0348617139713,2.583847275e-05,253431.725,-37.54465840912044,143.93465099761386
LAKE MOKOAN,0.582159885411,0.00764820293112,76078136.6,-36.45705159510553,146.09154718106714
LAANECOORIE RESERVOIR,0.205180002112,0.00017316811075,1714030.56,-36.844911857594866,143.87244563840733
GOULBURN WEIR,0.221111147202,0.000368154324375,3649432.93,-36.72914647908248,145.17476414421725
LAKE EPPALOCK,1.46026910747,0.00313665447375,31030630.5,-36.885491915545494,144.55878607242263
LAL LAL RESERVOIR,0.234426524986,0.000343719743875,3366188.19,-37.65965943756632,144.0636964895518
OSHANNASSY RESERVOIR,0.0416650877816,2.673986125e-05,261829.453,-37.67262162953508,145.80750240905292
TOOLONDO RESERVOIR,0.256262655297,0.00136801071663,13511104.7,-37.01444086900867,141.94824723642415
GREEN LAKE,0.0757184392224,0.000170443343625,1688188.34,-36.79287040753322,142.29281010008478
LAKE DARTMOUTH,2.04866890779,0.00490520888562,48706371.3,-36.596969582918625,147.59035178490623
SILVAN RESERVOIR,0.125247963566,0.000347811937125,3397991.09,-37.84264586298935,145.41321851454256
LAKE BREWSTER,0.384052465986,0.00630967496712,65043845.8,-33.480854308773324,145.96913935746664
UPPER STONY CREEK RESERVOIR,0.0420396478026,7.78956465e-05,761161.127,-37.827875427827124,144.20310094369728
LAKE PAMAMAROO,0.32125838635,0.006488871799,67789674.2,-32.275317538716344,142.4577895616457
MOORABOOL RESERVOIR,0.0847597257355,0.000148348051,1455720.77,-37.50933002198016,144.08377480374114
TULLAROOP RESERVOIR,0.40367676903,0.00074384064875,7336213.83,-37.12268734568156,143.86180912518924
LAKE HUME,4.43484728819,0.0194288083403,194173897.0,-36.08285617994699,147.15027805002688
GREENVALE RESERVOIR,0.0832549569396,0.000167965670875,1645623.22,-37.62905498968226,144.902199093858
LAKE VICTORIA,0.516701838657,0.0109975768988,112709861.0,-33.990969023292614,141.27569667855585
LAKE LOOMBAH,0.0205479567537,1.5323289125e-05,151910.773,-36.72174511959956,146.2230520565294
LAKE WILLIAM HOVELL,0.0879923919407,0.000110226884375,1089917.22,-36.92444869188024,146.39027663310216
SANDHURST RESERVOIR,0.0225782438875,2.459734825e-05,243463.347,-36.845863310624495,144.24395588466143
YAN YEAN RESERVOIR,0.130174502787,0.000502029696125,4923370.1,-37.5552790223655,145.13789210136116
LAKE KEEPIT,1.04720925788,0.0040389002865,42838981.0,-30.83339607081604,150.52125468979023
SPRING GULLY RESERVOIR,0.0513549011108,4.457332725e-05,441413.144,-36.80553039396205,144.2787400268229
LAKE BURRAGORANG,3.68181816365,0.00701730266137,71907880.4,-34.00256030299414,150.40324793668293
TARAGO RESERVOIR,0.278095057926,0.0003645057685,3553630.24,-37.999383264848596,145.92406900429677
UPPER STONY CREEK RESERVOIR,0.0275975570628,5.444152725e-05,532032.594,-37.8201800561068,144.19214489331952
