NAME,gauge_ID,Polygon_Area,staion_nam,lat,lon
MARIAN WEIR,125008A,1544632.18,Mirani Weir HW,-21.14664099,148.8857583
MAROONDAH RESERVOIR,229130A,1923128.02,WATTS RIV-MAROONDAH,-37.63415248,145.564162
MCCAY RESERVOIR,MCCAY,186904.825,McCay Storage,-37.09155142,144.300489
MIRANI WEIR,125008A,718352.846,Mirani Weir HW,-21.20219755,148.8197598
MOORABOOL RESERVOIR,232217A,1455720.77,MOORABOOL WB RES HG,-37.50933002,144.0837748
MURRAY 2 PONDAGE,401571,136624.041,Murray 2 Dam,-36.241612,148.1857513
NED CHURCHWARD WEIR,136023A,5740195.23,Ned Churchward HW,-25.08394223,152.0265954
NEVILLE HEWITT WEIR,130304B,673232.756,Neville Hewitt HW,-24.18696302,149.8091521
NEWLYN RESERVOIR,sp-o10926,666904.292,Newlyn Reservoir,-37.40875302,144.0072737
ORANGE CREEK WEIR,130354A,1192706.55,Gyranda Weir HW,-25.25653838,150.1785091
OSHANNASSY RESERVOIR,229111A,261829.453,OSHANNASSY RES HG,-37.67262163,145.8075024
PINE TIER LAGOON,171.1,953422.107,PINE TIER LAGOON - AT DAM,-42.08498958,146.4845757
ROCKLANDS RESERVOIR,ROCKLANDS,64520575.7,Rocklands Reservoir,-37.25223142,142.074436
SANDHURST RESERVOIR,SANDHURST,243463.347,Sandhurst Storage,-36.84586331,144.2439559
SCABBY GULLY DAM,ODSS_18335_WSLAHD.1,249296.717,Manjimup Dam Wsl,-34.27934429,116.0456399
SILVAN RESERVOIR,229405A,3397991.09,SILVAN RESERVOIR,-37.84264586,145.4132185
SPLIT ROCK DAM,419080,24239983.6,SPLIT ROCK DAM,-30.52548578,150.6934847
TALBINGO RESERVOIR,410572A,16723258.9,Talbingo Res - RO,-35.68854323,148.3212693
TANTANGARA RESERVOIR,410543,19936856,Tantangara Dam RL,-35.74584284,148.6591187
TARAGO RESERVOIR,228224A,3553630.24,TARAGO R-TARAGO RES,-37.99938326,145.924069
THOMSON DAM,225256A,21240603.6,THOMSON RESERVOIR,-37.7804887,146.363912
TOOMA RESERVOIR,401565,1185007.8,Tooma at Tooma Res,-36.0621128,148.2705463
